City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Poso,ID,83.34,broken clouds,-1.3959,120.7524,Hotel 77 Poso
4,Lazaro Cardenas,MX,78.93,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
10,Rikitea,PF,75.88,few clouds,-23.1203,-134.9692,People ThankYou
24,Butaritari,KI,82.11,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
26,Manzanillo,CU,76.68,light rain,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
29,Mlonggo,ID,82.47,broken clouds,-6.5333,110.7,Asia Metal Art
31,Atuona,PF,78.67,few clouds,-9.8,-139.0333,Villa Enata
41,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Lompoc,US,76.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
43,Hirara,JP,80.46,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
45,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
52,Santa Rosa,PH,87.12,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
53,Victoria,HK,82.18,overcast clouds,22.2855,114.1577,Mini Central
54,Faanui,PF,80.82,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,Santa Marta,CO,87.85,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
59,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
61,Dangriga,BZ,82.31,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
62,Kavaratti,IN,82.53,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
65,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
66,Kirakira,SB,84.04,overcast clouds,-10.4544,161.9205,SanBiz Lodge
68,Bubaque,GW,77.86,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
70,Bengkulu,ID,80.56,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
71,Hithadhoo,MV,83.64,overcast clouds,-0.6,73.0833,Scoop Guest House
74,Hilo,US,87.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
75,Ambulu,ID,80.37,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
76,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
78,Lorengau,PG,86.14,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
79,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
86,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
88,Babra,IN,82.29,broken clouds,21.85,71.3,Old Circuit House
89,Bhadasar,IN,77.83,clear sky,28.2833,74.3167,OMPRAKASH JAKHAR
96,Chhuikhadan,IN,86.22,scattered clouds,21.5333,80.9833,PWD Rest House
99,Mandalay,MM,81.9,broken clouds,21.9747,96.0836,Hotel Yadanarbon
101,Karratha,AU,75.63,few clouds,-20.7377,116.8463,ibis Styles Karratha
107,Tecoanapa,MX,82.13,overcast clouds,16.5167,-98.75,Hotel Manglares
120,Novo Aripuana,BR,77.88,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
122,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
128,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
130,Hami,CN,89.69,overcast clouds,42.8,93.45,Laoyutang Resort
132,Luganville,VU,83.1,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
133,San Antonio,US,77.68,few clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
141,Pangai,TO,82.51,few clouds,-19.8,-174.35,Ha'apai Beach Resort
142,Boca Do Acre,BR,77.95,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
144,Ishigaki,JP,78.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
148,Salvador,SV,77.4,overcast clouds,13.8333,-88.9167,Chico's Ranch
150,Progreso,MX,89.71,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
154,Biltine,TD,82.06,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
155,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
159,Qui Nhon,VN,83.32,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
161,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
163,Amahai,ID,83.93,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
164,Bambous Virieux,MU,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
168,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
175,Basco,PH,82.56,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
178,Panama City,PA,80.29,broken clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
180,Maumere,ID,83.84,scattered clouds,-8.6199,122.2111,Sylvia Hotel
189,Callaguip,PH,82.42,broken clouds,18.0714,120.4867,Pangil Beach Resort
191,Callaway,US,75.94,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
194,Huejuquilla El Alto,MX,77.29,clear sky,22.6,-103.8667,Hotel Huexuquillan
197,Harper,LR,77.02,moderate rain,4.375,-7.7169,Screensaver
199,Banda Aceh,ID,82.78,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
202,Vanimo,PG,85.24,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
204,Daru,PG,84.34,broken clouds,-9.0763,143.2092,Daru Lodge
207,Dingle,PH,85.19,few clouds,10.9995,122.6711,SEGAYA PROPERTY
220,Quatre Cocos,MU,75.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
228,Hambantota,LK,80.26,overcast clouds,6.1241,81.1185,Bungalow 63
234,Ankang,CN,75.76,overcast clouds,32.68,109.0172,安琪酒店
239,Mahibadhoo,MV,82.9,overcast clouds,3.7833,72.9667,Omadhoo Inn
240,Axim,GH,77.47,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
241,Ambon,ID,78.94,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
248,Miguel Auza,MX,81.07,clear sky,24.2933,-103.4503,Hotel Del Centro
249,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
252,Samarinda,ID,85.24,few clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
256,Sabang,ID,83.93,overcast clouds,5.8933,95.3214,Hotel Citra
257,Mulege,MX,82.44,clear sky,26.8833,-111.9833,Casa Granada
258,Palauig,PH,85.62,few clouds,15.435,119.9045,Alperi Botique Resort
263,Mamallapuram,IN,86.05,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
264,Veraval,IN,83.95,overcast clouds,20.9,70.3667,Lords Inn Somnath
266,Akyab,MM,77.36,overcast clouds,20.15,92.9,Hotel Memory
274,Keelung,TW,77.05,overcast clouds,25.1283,121.7419,East Coast Star Boutique Hotel
281,Sonoita,MX,83.03,few clouds,31.85,-112.8333,Hotel internacional
282,Payo,ID,77.29,overcast clouds,-3.7508,103.6372,Mess keban agung
286,San Patricio,US,81.32,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
290,Yanji,CN,75.69,overcast clouds,42.9075,129.5078,Holiday Inn Changbaishan Suites
295,Muisne,EC,77.5,overcast clouds,0.6,-80.0333,Quinta Samay
298,Gizo,SB,84.16,few clouds,-8.103,156.8419,Imagination Island
299,Kibala,TD,76.95,clear sky,9.1104,18.3463,hotel safari
307,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
308,Mangrol,IN,83.86,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
309,Marsh Harbour,BS,78.26,few clouds,26.5412,-77.0636,Abaco Beach Resort
310,Namatanai,PG,83.82,light rain,-3.6667,152.4333,Seagulls Inn Namatani
311,Pilar,BR,75.13,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
313,Loa Janan,ID,84.9,scattered clouds,-0.583,117.095,Ss
314,Makaha,US,85.91,few clouds,21.4694,-158.2175,Hawaiian Princess Resort
317,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
321,Mareeba,AU,76.48,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
326,Kahului,US,86.02,broken clouds,20.8947,-156.47,Maui Seaside Hotel
330,Alugan,PH,84.63,scattered clouds,12.2188,125.4808,JM Lodge
334,Sabha,LY,79.63,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
336,Kihei,US,86.02,broken clouds,20.785,-156.4656,Maui Sunset
341,Tezu,IN,80.04,broken clouds,27.9167,96.1667,Circuit House
343,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
344,La Reforma,MX,77.9,clear sky,25.0833,-108.05,Hotel Reforma
347,Grand Gaube,MU,75.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
356,Saint Peter,BB,79.36,overcast clouds,13.25,-59.6167,Legend Garden Condos
366,Marang,MY,80.51,overcast clouds,5.2056,103.2059,DBarakah Homestay
