City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,2022-05-24 00:32:27,-33.9258,18.4232,60.28,88,75,10.36,broken clouds
1,Puerto Ayora,EC,2022-05-24 00:33:24,-0.7393,-90.3518,72.55,96,49,1.01,scattered clouds
2,Poso,ID,2022-05-24 00:36:18,-1.3959,120.7524,83.34,70,79,2.8,broken clouds
3,Ushuaia,AR,2022-05-24 00:32:39,-54.8,-68.3,33.46,80,20,8.05,few clouds
4,Lazaro Cardenas,MX,2022-05-24 00:36:18,17.9583,-102.2,78.93,77,45,10.38,scattered clouds
5,Provideniya,RU,2022-05-24 00:36:18,64.3833,-173.3,46.51,76,0,4.47,clear sky
6,Torbay,CA,2022-05-24 00:35:31,47.6666,-52.7314,53.58,93,100,17.27,light intensity drizzle
7,Tuktoyaktuk,CA,2022-05-24 00:35:42,69.4541,-133.0374,28.4,74,20,5.75,few clouds
8,Fortuna,US,2022-05-24 00:35:52,40.5982,-124.1573,62.92,74,0,16.11,clear sky
9,Vila,PT,2022-05-24 00:36:19,42.0304,-8.1588,44.71,81,91,2.86,overcast clouds
10,Rikitea,PF,2022-05-24 00:33:21,-23.1203,-134.9692,75.88,74,19,9.98,few clouds
11,Qaanaaq,GL,2022-05-24 00:36:19,77.484,-69.3632,24.26,82,100,5.88,overcast clouds
12,Longyearbyen,SJ,2022-05-24 00:35:55,78.2186,15.6401,35.44,93,100,3.44,light rain
13,Albany,US,2022-05-24 00:32:27,42.6001,-73.9662,61.21,49,100,4.68,overcast clouds
14,Ponta Do Sol,PT,2022-05-24 00:33:29,32.6667,-17.1,66.7,77,97,7.63,overcast clouds
15,Henties Bay,NA,2022-05-24 00:36:20,-22.116,14.2845,62.94,50,0,1.16,clear sky
16,Ruza,RU,2022-05-24 00:36:20,55.699,36.1952,37.69,67,100,5.26,overcast clouds
17,Mataura,NZ,2022-05-24 00:33:23,-46.1927,168.8643,52.48,90,100,10.27,overcast clouds
18,Airai,TL,2022-05-24 00:36:20,-8.9266,125.4092,70.74,61,82,3.2,broken clouds
19,Pisco,PE,2022-05-24 00:34:31,-13.7,-76.2167,64.02,88,20,4.61,mist
20,Migori,KE,2022-05-24 00:36:21,-1.0634,34.4731,63.5,83,99,2.8,overcast clouds
21,Mount Gambier,AU,2022-05-24 00:36:21,-37.8333,140.7667,61.29,55,1,10.11,clear sky
22,Ambilobe,MG,2022-05-24 00:36:21,-13.2,49.05,67.82,85,21,4.07,few clouds
23,Muroto,JP,2022-05-24 00:36:22,33.2833,134.15,70.61,72,21,10.76,few clouds
24,Butaritari,KI,2022-05-24 00:33:20,3.0707,172.7902,82.11,77,100,13.98,overcast clouds
25,Khatanga,RU,2022-05-24 00:36:22,71.9667,102.5,28.9,78,94,10.11,overcast clouds
26,Manzanillo,CU,2022-05-24 00:36:22,20.3433,-77.1167,76.68,85,100,5.26,light rain
27,Port Alfred,ZA,2022-05-24 00:33:24,-33.5906,26.891,62.4,69,56,4.9,broken clouds
28,Araouane,ML,2022-05-24 00:36:23,18.9048,-3.5265,85.01,8,0,3.96,clear sky
29,Mlonggo,ID,2022-05-24 00:36:23,-6.5333,110.7,82.47,79,69,5.53,broken clouds
30,Pacific Grove,US,2022-05-24 00:33:05,36.6177,-121.9166,74.21,72,0,10.36,clear sky
31,Atuona,PF,2022-05-24 00:34:33,-9.8,-139.0333,78.67,75,20,18.16,few clouds
32,Jamestown,US,2022-05-24 00:29:43,42.097,-79.2353,55.53,63,0,9.22,clear sky
33,Barrow,US,2022-05-24 00:34:32,71.2906,-156.7887,24.82,86,100,18.41,overcast clouds
34,New Norfolk,AU,2022-05-24 00:33:27,-42.7826,147.0587,50.92,81,3,1.83,clear sky
35,Tasiilaq,GL,2022-05-24 00:33:27,65.6145,-37.6368,34.36,98,100,9.37,light snow
36,Ilulissat,GL,2022-05-24 00:33:25,69.2167,-51.1,32.02,93,75,0.0,broken clouds
37,Bluff,NZ,2022-05-24 00:33:29,-46.6,168.3333,52.81,82,55,27.47,light rain
38,Yellowknife,CA,2022-05-24 00:36:24,62.456,-114.3525,41.56,52,75,12.66,broken clouds
39,Lavrentiya,RU,2022-05-24 00:36:24,65.5833,-171.0,40.73,73,4,2.13,clear sky
40,Tepalcatepec,MX,2022-05-24 00:36:24,19.1833,-102.85,93.42,32,16,3.96,few clouds
41,Kapaa,US,2022-05-24 00:33:19,22.0752,-159.319,82.38,74,20,11.5,few clouds
