City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bermeo,ES,2022-05-22 14:29:49,43.4209,-2.7215,88.41,59,100,11.03
1,Punta Arenas,CL,2022-05-22 14:22:24,-53.15,-70.9167,37.51,70,75,14.97
2,Thompson,CA,2022-05-22 14:26:34,55.7435,-97.8558,51.96,46,20,5.75
3,Lypnyazhka,UA,2022-05-22 14:29:49,48.4469,31.0761,60.85,57,76,20.18
4,Tuatapere,NZ,2022-05-22 14:29:50,-46.1333,167.6833,46.36,83,98,8.46
5,Shimoda,JP,2022-05-22 14:29:50,34.6667,138.95,65.86,91,34,7.99
6,Talnakh,RU,2022-05-22 14:29:51,69.4865,88.3972,34.21,100,100,2.3
7,Albany,US,2022-05-22 14:23:05,42.6001,-73.9662,83.26,65,49,5.99
8,Mataura,NZ,2022-05-22 14:23:04,-46.1927,168.8643,43.97,94,99,6.38
9,Lebu,CL,2022-05-22 14:28:31,-37.6167,-73.65,54.75,97,100,22.62
10,Rikitea,PF,2022-05-22 14:23:08,-23.1203,-134.9692,75.72,76,15,12.88
11,Katsuura,JP,2022-05-22 14:23:05,35.1333,140.3,62.51,85,97,9.28
12,Ushuaia,AR,2022-05-22 14:22:04,-54.8,-68.3,33.46,100,40,0.0
13,Oga,IT,2022-05-22 14:29:51,46.4631,10.347,70.81,48,95,4.79
14,Victoria,HK,2022-05-22 14:25:56,22.2855,114.1577,79.18,81,100,17.0
15,Bambous Virieux,MU,2022-05-22 14:29:52,-20.3428,57.7575,75.45,73,40,9.22
16,Sao Jose Do Calcado,BR,2022-05-22 14:29:52,-21.0253,-41.6544,72.59,57,2,2.68
17,Hobart,AU,2022-05-22 14:29:52,-42.8794,147.3294,48.25,85,100,8.05
18,Bengkulu,ID,2022-05-22 14:29:53,-3.8004,102.2655,78.93,84,100,2.06
19,Cabo San Lucas,MX,2022-05-22 14:21:59,22.8909,-109.9124,72.7,69,5,12.08
20,Kapaa,US,2022-05-22 14:23:07,22.0752,-159.319,73.72,94,100,10.36
21,Bandar-E Lengeh,IR,2022-05-22 14:29:53,26.5579,54.8807,93.31,55,0,6.91
22,Butaritari,KI,2022-05-22 14:27:22,3.0707,172.7902,80.4,83,100,13.11
23,Sur,OM,2022-05-22 14:29:53,22.5667,59.5289,98.64,36,3,3.65
24,Veinticinco De Mayo,AR,2022-05-22 14:29:54,-35.4323,-60.1727,57.97,76,100,1.99
25,Sao Joao Da Barra,BR,2022-05-22 14:21:03,-21.6403,-41.0511,77.09,68,0,4.18
26,Tasiilaq,GL,2022-05-22 14:29:54,65.6145,-37.6368,35.76,83,100,1.28
27,Pokrovsk,UA,2022-05-22 14:29:54,48.282,37.1758,57.96,69,88,16.42
28,Luderitz,NA,2022-05-22 14:21:00,-26.6481,15.1594,70.11,46,8,16.62
29,Iwanai,JP,2022-05-22 14:29:54,42.9744,140.5089,57.49,89,100,3.53
30,Bredasdorp,ZA,2022-05-22 14:26:11,-34.5322,20.0403,69.17,50,13,11.48
31,Ahipara,NZ,2022-05-22 14:29:55,-35.1667,173.1667,59.34,77,100,9.26
32,Chifeng,CN,2022-05-22 14:29:55,42.2683,118.9636,69.66,43,99,16.35
33,Pangoa,PE,2022-05-22 14:28:31,-12.1167,-73.0,74.75,70,79,1.36
34,Yellowknife,CA,2022-05-22 14:26:44,62.456,-114.3525,36.12,80,100,13.8
35,Surt,LY,2022-05-22 14:29:55,31.2089,16.5887,75.2,33,0,11.68
36,Kodiak,US,2022-05-22 14:24:29,57.79,-152.4072,45.91,87,100,17.27
37,Souillac,MU,2022-05-22 14:29:56,-20.5167,57.5167,75.58,73,40,9.22
38,Busselton,AU,2022-05-22 14:26:17,-33.65,115.3333,61.11,68,95,22.24
39,Mahebourg,MU,2022-05-22 14:29:56,-20.4081,57.7,75.49,73,40,9.22
40,Bluff,NZ,2022-05-22 14:26:11,-46.6,168.3333,50.95,69,92,21.12
41,Norman Wells,CA,2022-05-22 14:29:57,65.282,-126.8329,37.44,93,75,5.75
42,Merrill,US,2022-05-22 14:29:57,45.1805,-89.6835,47.97,61,75,10.36
43,Solwezi,ZM,2022-05-22 14:30:57,-12.1688,26.3894,74.44,48,90,3.24
44,Puerto Ayora,EC,2022-05-22 14:26:19,-0.7393,-90.3518,75.16,81,19,7.63
45,Poum,NC,2022-05-22 14:30:57,-20.2333,164.0167,78.15,82,70,17.0
46,Cairns,AU,2022-05-22 14:30:24,-16.9167,145.7667,73.06,86,34,5.75
47,Palauig,PH,2022-05-22 14:30:58,15.435,119.9045,81.25,80,90,10.8
48,Kaitangata,NZ,2022-05-22 14:30:58,-46.2817,169.8464,44.85,91,90,9.51
49,Goundi,TD,2022-05-22 14:30:58,9.3627,17.366,100.04,24,100,4.12
50,Ribeira Grande,PT,2022-05-22 14:30:59,38.5167,-28.7,66.6,94,75,3.44
51,Mariinsk,RU,2022-05-22 14:30:59,56.2139,87.7472,64.62,74,100,6.46
52,Grand Gaube,MU,2022-05-22 14:30:59,-20.0064,57.6608,75.6,75,4,5.01
53,Qom,IR,2022-05-22 14:30:59,34.6401,50.8764,82.49,11,3,9.66
54,Along,IN,2022-05-22 14:31:00,28.1667,94.7667,70.09,97,29,1.01
